Q. No,Questions,Answer A,Answer B,Correct Answer, Leading Article ,Article ID
Q45,2003 विश्व कप में किस खिलाड़ी को 'मैन ऑफ़ द सीरीज़' और 'सर्वाधिक रन बनाने वाले खिलाड़ी' के रूप में चुना गया?,सचिन तेंदुलकर,स्टीव वॉ,A,Sachin tendulkar,O5
Q46,2003 विश्व कप के दौरान बारिश के चलते मैच में हुई देरी के बाद निर्धारित लक्ष्य तय करने के लिए किस तरीक़े का पहली बार इस्तेमाल हुआ?,डकवर्थ लुइस नियम,मोस्ट प्रोडक्टिव ओवर नियम,A,2003 cricket world cup,P5
Q47,2003 विश्व कप के फ़ाइनल मुक़ाबले में ऑस्ट्रेलियाई टीम ने कितने रन बनाए थे?,359,327,A,Indian Cricket team,R1
Q48,2007 विश्व कप कहां हुआ था?,वेस्टइंडीज़,दक्षिण अफ़्रीका,A,2007 cricket world cup,P6
Q49,2007 क्रिकेट विश्व कप में किस खिलाड़ी को 'मैन ऑफ़ द सीरीज़' चुना गया?,ग्लेन मैकग्रा,ऐडम गिलक्रिस्ट,A,2007 cricket world cup,P6
Q50,2007 क्रिकेट विश्व कप में भारत किस चरण से बाहर हो गया था?,ग्रुप स्टेज,क्वॉर्टर फ़ाइनल्स,A,Indian Cricket team,R1
Q51,2011 क्रिकेट विश्व कप का औपचारिक ऐंबैसडर कौन था?,सचिन तेंदुलकर,एम. एस. धोनी,A,Sachin tendulkar,O5
Q52,2011 क्रिकेट विश्व कप किस देश ने जीता था?,भारत,ऑस्ट्रेलिया,A,Indian Cricket team,R1
Q53,2011 क्रिकेट विश्व कप में किस खिलाड़ी ने 'प्लेयर ऑफ़ द सीरीज़' का ख़िताब जीता था?,युवराज सिंह,गौतम गंभीर,A,2011 cricket World cup,P7
Q54,2011 विश्व कप को पूरी दुनिया में सर्वाधिक दर्शकों द्वारा देखा गया था। इन दर्शकों का आंकड़ा कितना था?,2.2 बिलियन,2.8 बिलियन,A,2011 cricket World cup,P7
Q55,2011 विश्व कप के दौरान भारत को कितने रनों के लक्ष्य का पीछा करना था?,274,277,A,Indian Cricket team,R1
Q56,2015 क्रिकेट विश्व कप कहां हुआ था?,"ऑस्ट्रेलिया , न्यूज़ीलैंड",इंग्लैंड,A,2015 cricket World cup,P8
Q57,अभी तक ऑस्ट्रेलिया कितने विश्व कप जीत चुका है?,5,4,A,Australian Cricket team,R2
Q58,2015 क्रिकेट विश्व कप में किस खिलाड़ी ने 'प्लेयर ऑफ़ द सीरीज़' का ख़िताब जीता था?,मिशेल स्टार्क,विराट कोहली,A,2015 Cricket World cup,P8
Q59,2015 क्रिकेट विश्व कप के फ़ाइनल मुक़ाबले में ऑस्ट्रेलिया का सामाना किस टीम से हुआ था?,न्यूज़ीलैंड,श्रीलंका,A,New zealand cricket team,R15
Q60,2019 विश्व कप की मेज़बानी कौन सा देश करेगा?,इंग्लैंड,दक्षिण अफ़्रीका,A,England,G10
Q61,एक विश्व कप में सर्वाधिक रन बनाने का रेकॉर्ड किस खिलाड़ी के नाम पर है?,सचिन तेंदुलकर,रिकी पोंटिंग,A,Sachin tendulkar,O5
Q62,एक विश्व कप में सर्वाधिक विकेट लेने का रेकॉर्ड किस खिलाड़ी के नाम पर है?,ग्लेन मैकग्रा,वक़ार यूनिस,A,Australian cricket team,R2
Q63,कौन सी टीम सबसे अधिक बार विश्व कप ख़िताब जीत चुकी है?,ऑस्ट्रेलिया,भारत,A,Australian cricket team,R2
Q64,100 अंतरराष्ट्रीय एकदिवसीय मैच जीतने वाला पहला ग़ैर-ऑस्ट्रेलियाई खिलाड़ी कौन है?,एम. एस. धोनी,ग्रीम स्मिथ,A,M.S Dhoni,O2
Q65,पहले विश्व कप मुक़ाबले में शतक जमाने वाला पहला भारतीय बल्लेबाज़ कौन था?,सचिन तेंदुलकर,विराट कोहली,B,Virat Kohli,O1
Q66,2018 में सर्वाधिक छक्के किस खिलाड़ी ने लगाए?,क्रिस गेल,रोहित शर्मा,B,Rohit Sharma,O3
Q67,अंतरराष्ट्रीय एकदिवसीय मैचों में सबसे तेज़ी से 1000 रन बनाने वाला भारतीय बल्लेबाज़ कौन है?,शिखर धवन,विराट कोहली,A,Shikar DHawan,O4
Q68,किस ऑस्ट्रेलियाई खिलाड़ी ने राष्ट्रीय स्तर पर खेलने से पहले एक भी प्रथम श्रेणी मैच नहीं खेला?,स्टीव स्मिथ,डेविड वार्नर,B,David Warner,O26
Q69,टेस्ट क्रिकेट खेलने वाले सभी देशों के ख़िलाफ शतक लगाने वाला सबसे युवा खिलाड़ी कौन है?,केन विलियमसन,विराट कोहली,A,Kane Williamson,O30
Q70,किस इंग्लिश क्रिकेटर ने दो अलग-अलग देशों से खेलते हुए शतक लगाए हैं?,इयॉन मॉर्गन,केविन पीटरसैन,A,England Cricket team,R4
Q71,कौन सा दक्षिण अफ़्रीकी गेंदबाज़ 150 विकेट लेने वाला सबसे युवा खिलाड़ी है?,कागिसो रबाडा,डेल स्टेन,A,Kagiso Rabada,O38
Q72,"टी-20 मैच में शतक, अंतरराष्ट्रीय एकदिवसीय मैच में दोहरा शतक और टेस्ट मैच में तिहरा शतक जमाने वाला एकमात्र खिलाड़ी कौन है?",क्रिस गेल,मार्टिन गप्टिल,A,Chris Gayle,O27
Q73,वेस्टइंडीज़ की क्रिकेट टीम कितने कैरेबियाई देशों का प्रतिनिधित्व करती है?,15,22,A,West indies Cricket team,R3
Q74,कौन सी टीम सबसे अधिक बार फ़ाइनल मुक़ाबलों में पहुंची है?,ऑस्ट्रेलिया,श्रीलंका,A,Australian Cricket team,R2
Q75,किस भारतीय कप्तान ने अभी तक एकबार भी विश्व कप के ग्रुप चरण में एक भी मैच नहीं हारा है?,एम. एस. धोनी,सौरव गांगुली,A,M.S Dhoni,O2
Q76,भारतीय महिला क्रिकेट में अंतरराष्ट्रीय एकदिवसीय टीम का कप्तान कौन है?,मिताली राज,हरमनप्रीत कौर,B,Harmanpreet Kaur,O43
Q77,किस महिला क्रिकेटर को साल 2018 के लिए आईसीसी विमिन क्रिकेटर के ख़िताब से नवाज़ा गया?,स्मृति मंदना,मिताली राज,A,Smirthi Mandana,O44
Q78,इंग्लैंड में केआईए सुपर लीग खेलने वाली पहली महिला क्रिकेटर कौन थी?,हरमनप्रीत कौर,स्मृति मन्धना,A,Smirthi Mandana,O44
Q79,भारतीय महिला क्रिकेट टीम के लिए किस खिलाड़ी ने सर्वाधिक रन बनाए हैं?,मिताली राज,हरमनप्रीत कौर,B,Mithali raj,O45
Q80,भारतीय महिला क्रिकेट टीम के लिए किस खिलाड़ी ने सर्वाधिक विकेट लिए हैं?,वेद कृष्णमूर्ति,झूलन गोस्वामी,B,Jhulan Goswami,O46
