Fact Id,Relevant Image,Heading,Fact,Read More Text,Linking article,Article ID
F33,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,தோற்கடிக்கப்படாத ஆஸ்திரேலியா,இந்தப் போட்டியில் ஆஸ்திரேலியாவின் தோற்கடிக்கப்படாத சாதனை என்பது உலகக் கோப்பைப் போட்டிகளில் தொடர்ச்சியாகப் பெற்ற 29 வெற்றிகள் அவர்களுடைய மொத்த வெற்றிகளின் எண்ணிக்கையை அதிகரித்தது.,2007 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2007 உலகக் கோப்பை,P6
F34,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,தோற்கடிக்கப்படாத ஆஸ்திரேலியா,இந்தப் போட்டியில் ஆஸ்திரேலியாவின் தோற்கடிக்கப்படாத சாதனை என்பது உலகக் கோப்பைப் போட்டிகளில் தொடர்ச்சியாகப் பெற்ற 29 வெற்றிகள் அவர்களுடைய மொத்த வெற்றிகளின் எண்ணிக்கையை அதிகரித்தது.,ஆஸ்திரேலியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,ஆஸ்திரேலியக் கிரிக்கெட் அணி,R2
F35,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,பாப் உல்மர் இறப்பு,"தன்னுடைய அணி அயர்லாந்திடம் தோற்று உலகக் கோப்பையிலிருந்து வெளியேறிய பின் அடுத்த நாள், பாகிஸ்தான் பயிற்சியாளர் பாப் உல்மர் 18 மார்ச் 2007 இல் இறந்து கிடந்தார்.
",2007 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2007 உலகக் கோப்பை,P6
F36,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,மோசமான இந்திய ஆட்டம்,"1979 ஆம் ஆண்டு முதல், இந்தியா குரூப் நிலையில் தகுதி பெறாதது இதுவே முதல் தடவையாகும்.",இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F37,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,சொந்த மண்ணில் வெற்றி,சொந்த மண்ணில் உலகக் கோப்பையை வென்ற முதல் நாடு இந்தியாவாகும்.,2011 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2011 உலகக் கோப்பை,P7
F38,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,சொந்த மண்ணில் வெற்றி,சொந்த மண்ணில் உலகக் கோப்பையை வென்ற முதல் நாடு இந்தியாவாகும்.,இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F39,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,2.2 பில்லியன் பார்வையாளர்கள்,2011 உலகக் கோப்பை உலக அளவில் 2.2 பில்லியன் பார்வையாளர்களைப் பெற்று மிக அதிகமாகப் பார்க்கப்பட்ட போட்டியாகும்.,2011 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2011 உலகக் கோப்பை,P7
F40,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,இருமுறை டாஸ் போடப்பட்டது,"இறுதி ஆட்டத்தின் போது கூட்டத்தில் சத்தமான இரைச்சலின் காரணமாக டாஸ் மறுபடியும் போடப்பட்டது, குறிப்பாக உலகக் கோப்பை இறுதிப் போட்டி போன்ற ஒரு முக்கிய நிகழ்வில் இது மிகவும் அசாதாரண நிகழ்வாகும்.",2011 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2011 உலகக் கோப்பை,P7
F41,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,சூப்பர் ஓவர்,"2015 ஆம் ஆண்டில் ஐசிசி கிரிக்கெட் உலகக் கோப்பை இறுதிப் போட்டி டையில் முடிந்தால் சூப்பர் ஓவரைப் பயன்படுத்தவதை மீண்டும் அமைத்தது,.",2015 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2015 உலகக் கோப்பை,P8
F42,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,இறுதிப்போட்டியில் ஆசிய நாடுகள் இல்லை,1992-இலிருந்து 2015 உலகக் கோப்பை இறுதிப் போட்டியில் தான் முதல் தடவையாக ஒரு ஆசிய அணி இறுதிப் போட்டிகளில் இடம்பெறவில்லை.,2015 உலகக் கோப்பையைப் பற்றி மேலும் வாசிக்க,2015 உலகக் கோப்பை,P8
F43,https://en.wikipedia.org/wiki/Virat_Kohli#/media/File:Virat..Kohli.jpg,அறிமுக செஞ்சுரி,உலகக் கோப்பையில் முதல் அறிமுகப் போட்டியில் சதம் அடித்த முதல் இந்திய வீரர் விராத் கோலி ஆவார்.,விராத் கோலி பற்றி மேலும் வாசிக்க,விராத் கோலி,O1
F44,https://en.wikipedia.org/wiki/MS_Dhoni#/media/File:Mahendra_Singh_Dhoni_January_2016_(cropped).jpg,தல தோனி,உலகக் கோப்பையில் அனைத்து குரூப் நிலைப் போட்டிகளையும் வென்ற முதல் இந்திய கேப்டன் தோனி ஆவார்.,எம் எஸ் தோனி பற்றி மேலும் வாசிக்க,எம் எஸ் தோனி,O2
F45,https://en.wikipedia.org/wiki/MS_Dhoni#/media/File:Mahendra_Singh_Dhoni_January_2016_(cropped).jpg,தோனி 1000,"2015 உலகக் கோப்பையில், தோனி முதல் இந்தியக் கேப்டனாகவும், முதல் ஆஸ்திரேலியா அல்லாத கேப்டனாகவும் 100 வெற்றிகளைப் பதிவுசெய்தார்.",எம் எஸ் தோனி பற்றி மேலும் வாசிக்க,எம் எஸ் தோனி,O2
F46,https://en.wikipedia.org/wiki/Rohit_Sharma#/media/File:Rohit_Sharma_November_2016_(cropped).jpg,ஹிட்மேன்,"71 சிக்சர்களுடன், சர்மா ஒரு வருடத்தில் (2018) அதிக எண்ணிக்கையிலான சிக்ஸர்களை அடித்தார்.",ரோகித் சர்மா பற்றி மேலும் வாசிக்க,ரோகித் சர்மா,O3
F47,https://en.wikipedia.org/wiki/Shikhar_Dhawan#/media/File:SHIKHAR_DHAWAN_(16005494418).jpg,பெரிய போட்டி ஆட்டக்காரர்,"ஐசிசி. போட்டிகளில் அதிக ரன்கள் எடுத்த வீரர், ஐசிசி போட்டிகளில் மிக விரைவான 1000 ரன்கள் எடுத்துச் சாதனை படைத்தார்.",ஷிகர் தவான் பற்றி மேலும் வாசிக்க,ஷிகர் தவான்,O4
F48,https://en.wikipedia.org/wiki/David_Warner_(cricketer)#/media/File:DAVID_WARNER_(11704782453).jpg,முதல் தர கிரிக்கெட் அனுபவமில்லை,132 வருடத்தில் முதல் தரக் கிரிக்கெட்டின் எந்தப் போட்டியிலும் அனுபவம் இல்லாமல் தேசிய அணிக்காகத் தேர்வு செய்யப்பட்ட முதல் ஆஸ்திரேலியக் கிரிக்கெட் வீரர் வார்னர் ஆவார்.,டேவிட் வார்னர் பற்றி மேலும் வாசிக்க,டேவிட் வார்னர்,O26
F49,https://en.wikipedia.org/wiki/Kane_Williamson#/media/File:Kane_Williamson_(9773667991).jpg,இளம் வீரர்,கேன் வில்லியம்சன் டெஸ்ட் விளையாடும் அனைத்து நாடுகளுக்கும் எதிராகச் செஞ்சுரி அடித்த இளம் வீரர்,கேன் வில்லியம்சன் பற்றி மேலும் வாசிக்க,கேன் வில்லியம்சன்,O30
F50,https://en.wikipedia.org/wiki/Jos_Buttler#/media/File:Jos_Buttler_2017.jpg,5 ஐம்பதுகள்,ஐபிஎல் வரலாற்றில் தொடர்ச்சியாக ஐந்து முறை ஐம்பது ரன்கள் அல்லது அதற்கு மேல் அடித்த இரண்டாவது பேட்ஸ்பேன் ஜோஸ் பட்லர் ஆவார்.,ஜோஸ் பட்லர் பற்றி மேலும் வாசிக்க,ஜோஸ் பட்லர்,O32
F51,"https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:Chris_Gayle,_2010_(1).jpg",கெயில் புயல்,"உலகக் கிரிக்கெட்டில் டெஸ்ட் போட்டிகளில் ஒரு ட்ரிபிள் செஞ்சுரியும், ஒருநாள் போட்டியில் ஒரு டபுள் செஞ்சுரியும், டுவென்டி20 சர்வதேசப் போட்டிகளில் ஒரு செஞ்சுரியும் அடித்த ஒரே வீரர் கெயில் ஆவார்.",கிரிஸ் கெயில் பற்றி மேலும் வாசிக்க,கிரிஸ் கெயில்,O27
F52,https://en.wikipedia.org/wiki/Kagiso_Rabada#/media/File:Rabada.jpg,கஜிஸோ ரபாடா,டெஸ்ட் கிரிக்கெட்டில் 150 விக்கெட்டுகளை வீழ்த்திய இளம் வீரர் ரபாடா.,கஜிஸோ ரபாடா பற்றி மேலும் வாசிக்க,கஜிஸோ ரபாடா,O38
F53,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,300+,இந்தியக் கிரிக்கெட் அணி 300+ ரன்களை அதிக தடவை பதிவு செய்திருக்கிறது: 90 முறை.,இந்தியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இந்தியக் கிரிக்கெட் அணி,R1
F54,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:Australian_World_Cup_treble.jpg,நான்கு உலகக் கோப்பை இறுதிப்பபோட்டிகள்,1996 முதல் 2007 வரை நான்கு தொடர்ச்சியான உலகக் கோப்பை இறுதிப் போட்டிகளில் ஆஸ்திரேலிய அணி ஆடிய சாதனையைக் கொண்டுள்ளது..,ஆஸ்திரேலியக் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,ஆஸ்திரேலியக் கிரிக்கெட் அணி,R2
F55,https://en.wikipedia.org/wiki/England_cricket_team#/media/File:The_England_Cricket_Team_Ashes_2015.jpg,பழமையான கிரிக்கெட் அணி,"இங்கிலாந்தைப் பிரதிநிதித்துவம் செய்யும் உரிமையுடன் ஓர் அணியின் பதிவுசெய்யப்பட்ட முதல் நிகழ்வு ஜூலை 9, 1739-இலிருந்து கிடைக்கிறது.",இங்கிலாந்து கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,இங்கிலாந்து கிரிக்கெட் அணி ,R4
F56,https://en.wikipedia.org/wiki/West_Indies_cricket_team#/media/File:BrianLaraUkexpat.jpg,மேற்கிந்திய தீவுகளின் பலம்,பதினைந்து கரிபீயப் பிரதேசங்களின் சங்கிலியிலிருந்து தேர்ந்தெடுக்கப்பட்ட வீரர்களுடன் அங்க்லோஃபோன் கரீபியன் பிராந்தியத்தைப் பிரதிநிதித்துவப்படுத்தும் ஒரு பல-தேசியக் கிரிக்கெட் அணி மேற்கிந்தியத் தீவுகள் ஆகும்.,மேற்கிந்தியத் தீவுகள் கிரிக்கெட் அணி பற்றி மேலும் வாசிக்க,மேற்கிந்தியத் தீவுகள் அணி,R3
